Date,Incidence,BS
2020-02-26,1,1
2020-02-27,0,1
2020-02-28,0,1
2020-02-29,0,1
2020-03-01,1,2
2020-03-02,0,2
2020-03-03,1,3
2020-03-04,3,6
2020-03-05,0,6
2020-03-06,1,7
2020-03-07,1,8
2020-03-08,1,9
2020-03-09,6,15
2020-03-10,3,18
2020-03-11,7,25
2020-03-12,1,26
2020-03-13,5,31
2020-03-14,5,36
2020-03-15,3,39
2020-03-16,4,43
2020-03-17,3,46
2020-03-18,5,51
2020-03-19,11,62
2020-03-20,6,68
2020-03-21,5,73
2020-03-22,1,74
2020-03-23,6,80
2020-03-24,5,85
2020-03-25,5,90
2020-03-26,9,99
2020-03-27,5,104
2020-03-28,5,109
2020-03-29,1,110
2020-03-30,9,119
2020-03-31,5,124
